**crime_scene_reports**
+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
| 167 | Bryan       | 2021 | 8     | 4   | We had reached the same crowded thoroughfare in which we had found ourselves in the morning. Our cabs were dismissed, and, following the guidance of Mr. Merryweather, we passed down a narrow passage and through a side door, which he opened for us. Within there was a small corridor, which ended in a very massive iron gate. This also was opened, and led down a flight of winding stone steps, which terminated at another formidable gate. Mr. Merryweather stopped to light a lantern, and then conducted us down a dark, earth-smelling passage, and so, after opening a third door, into a huge vault or cellar, which was piled all round with crates and massive boxes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 168 | Donna       | 2021 | 8     | 5   | Mr. Windibank gave a violent start and dropped his gloves. “I am delighted to hear it,” he said.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 169 | Keith       | 2021 | 8     | 6   | “Nor from below,” said Mr. Merryweather, striking his stick upon the flags which lined the floor. “Why, dear me, it sounds quite hollow!” he remarked, looking up in surprise.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 170 | Linda       | 2021 | 8     | 6   | “Oh, that! I thought of the salt that I have been working upon. There was never any mystery in the matter, though, as I said yesterday, some of the details are of interest. The only drawback is that there is no law, I fear, that can touch the scoundrel.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 171 | Russell     | 2021 | 8     | 7   | As he spoke there was a tap at the door, and the boy in buttons entered to announce Miss Mary Sutherland, while the lady herself loomed behind his small black figure like a full-sailed merchant-man behind a tiny pilot boat. Sherlock Holmes welcomed her with the easy courtesy for which he was remarkable, and, having closed the door and bowed her into an armchair, he looked her over in the minute and yet abstracted fashion which was peculiar to him.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 172 | Susan       | 2021 | 8     | 10  | “Oh, she has turned all the men’s heads down in that part. She is the daintiest thing under a bonnet on this planet. So say the Serpentine-mews, to a man. She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner. Seldom goes out at other times, except when she sings. Has only one male visitor, but a good deal of him. He is dark, handsome, and dashing, never calls less than once a day, and often twice. He is a Mr. Godfrey Norton, of the Inner Temple. See the advantages of a cabman as a confidant. They had driven him home a dozen times from Serpentine-mews, and knew all about him. When I had listened to all they had to tell, I began to walk up and down near Briony Lodge once more, and to think over my plan of campaign.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 173 | Roy         | 2021 | 8     | 10  | “Yes, sir. I met him that night, and he called next day to ask if we had got home all safe, and after that we met him—that is to say, Mr. Holmes, I met him twice for walks, but after that father came back again, and Mr. Hosmer Angel could not come to the house any more.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 174 | Adam        | 2021 | 8     | 11  | He had risen from his chair and was standing between the parted blinds gazing down into the dull neutral-tinted London street. Looking over his shoulder, I saw that on the pavement opposite there stood a large woman with a heavy fur boa round her neck, and a large curling red feather in a broad-brimmed hat which was tilted in a coquettish Duchess of Devonshire fashion over her ear. From under this great panoply she peeped up in a nervous, hesitating fashion at our windows, while her body oscillated backward and forward, and her fingers fidgeted with her glove buttons. Suddenly, with a plunge, as of the swimmer who leaves the bank, she hurried across the road, and we heard the sharp clang of the bell.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 175 | Kelly       | 2021 | 8     | 12  | “Then, pray consult,” said Holmes, shutting his eyes once more.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 176 | Rebecca     | 2021 | 8     | 12  | The man who entered was a sturdy, middle-sized fellow, some thirty years of age, clean-shaven, and sallow-skinned, with a bland, insinuating manner, and a pair of wonderfully sharp and penetrating grey eyes. He shot a questioning glance at each of us, placed his shiny top-hat upon the sideboard, and with a slight bow sidled down into the nearest chair.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 177 | Gary        | 2021 | 8     | 13  | “I hope that I may have the pleasure of introducing you to-night. I’ve had one or two little turns also with Mr. John Clay, and I agree with you that he is at the head of his profession. It is past ten, however, and quite time that we started. If you two will take the first hansom, Watson and I will follow in the second.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 178 | Christian   | 2021 | 8     | 13  | “Well, really!” he cried, and then he choked and laughed again until he was obliged to lie back, limp and helpless, in the chair.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 179 | Maria       | 2021 | 8     | 14  | “‘Not so many as you might think,’ he answered. ‘You see it is really confined to Londoners, and to grown men. This American had started from London when he was young, and he wanted to do the old town a good turn. Then, again, I have heard it is no use your applying if your hair is light red, or dark red, or anything but real bright, blazing, fiery red. Now, if you cared to apply, Mr. Wilson, you would just walk in; but perhaps it would hardly be worth your while to put yourself out of the way for the sake of a few hundred pounds.’                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 180 | Amanda      | 2021 | 8     | 19  | “You want to go home, no doubt, Doctor,” he remarked as we emerged.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 181 | Christine   | 2021 | 8     | 20  | “I cannot say that I do unless it were that he wished to be able to deny his signature if an action for breach of promise were instituted.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 182 | Bradley     | 2021 | 8     | 21  | “This is a very unexpected turn of affairs,” said I; “and what then?”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 183 | Marie       | 2021 | 8     | 22  | “It was all-important. When a woman thinks that her house is on fire, her instinct is at once to rush to the thing which she values most. It is a perfectly overpowering impulse, and I have more than once taken advantage of it. In the case of the Darlington Substitution Scandal it was of use to me, and also in the Arnsworth Castle business. A married woman grabs at her baby; an unmarried one reaches for her jewel-box. Now it was clear to me that our lady of to-day had nothing in the house more precious to her than what we are in quest of. She would rush to secure it. The alarm of fire was admirably done. The smoke and shouting were enough to shake nerves of steel. She responded beautifully. The photograph is in a recess behind a sliding panel just above the right bell-pull. She was there in an instant, and I caught a glimpse of it as she half drew it out. When I cried out that it was a false alarm, she replaced it, glanced at the rocket, rushed from the room, and I have not seen her since. I rose, and, making my excuses, escaped from the house. I hesitated whether to attempt to secure the photograph at once; but the coachman had come in, and as he was watching me narrowly, it seemed safer to wait. A little over-precipitance may ruin all.”                                                                                                                                                      |
| 184 | Amy         | 2021 | 8     | 22  | “Oh, indeed! You seem to have done the thing very completely. I must compliment you.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 185 | Virginia    | 2021 | 8     | 23  | “Yes, sir. I am afraid that I am a little late, but I am not quite my own master, you know. I am sorry that Miss Sutherland has troubled you about this little matter, for I think it is far better not to wash linen of the sort in public. It was quite against my wishes that she came, but she is a very excitable, impulsive girl, as you may have noticed, and she is not easily controlled when she has made up her mind on a point. Of course, I did not mind you so much, as you are not connected with the official police, but it is not pleasant to have a family misfortune like this noised abroad. Besides, it is a useless expense, for how could you possibly find this Hosmer Angel?”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 186 | Daniel      | 2021 | 8     | 23  | As he spoke the gleam of the sidelights of a carriage came round the curve of the avenue. It was a smart little landau which rattled up to the door of Briony Lodge. As it pulled up, one of the loafing men at the corner dashed forward to open the door in the hope of earning a copper, but was elbowed away by another loafer, who had rushed up with the same intention. A fierce quarrel broke out, which was increased by the two guardsmen, who took sides with one of the loungers, and by the scissors-grinder, who was equally hot upon the other side. A blow was struck, and in an instant the lady, who had stepped from her carriage, was the centre of a little knot of flushed and struggling men, who struck savagely at each other with their fists and sticks. Holmes dashed into the crowd to protect the lady; but, just as he reached her, he gave a cry and dropped to the ground, with the blood running freely down his face. At his fall the guardsmen took to their heels in one direction and the loungers in the other, while a number of better dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man. Irene Adler, as I will still call her, had hurried up the steps; but she stood at the top with her superb figure outlined against the lights of the hall, looking back into the street.                                                   |
| 187 | Joe         | 2021 | 8     | 23  | It was a quarter past six when we left Baker Street, and it still wanted ten minutes to the hour when we found ourselves in Serpentine Avenue. It was already dusk, and the lamps were just being lighted as we paced up and down in front of Briony Lodge, waiting for the coming of its occupant. The house was just such as I had pictured it from Sherlock Holmes’ succinct description, but the locality appeared to be less private than I expected. On the contrary, for a small street in a quiet neighbourhood, it was remarkably animated. There was a group of shabbily dressed men smoking and laughing in a corner, a scissors-grinder with his wheel, two guardsmen who were flirting with a nurse-girl, and several well-dressed young men who were lounging up and down with cigars in their mouths.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 188 | Janet       | 2021 | 8     | 24  | “Your own little income,” he asked, “does it come out of the business?”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 189 | Angela      | 2021 | 8     | 26  | “And I you,” Holmes answered. “Your red-headed idea was very new and effective.”                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 190 | Diane       | 2021 | 8     | 27  | “‘It would be injustice to hesitate,’ said he. ‘You will, however, I am sure, excuse me for taking an obvious precaution.’ With that he seized my hair in both his hands, and tugged until I yelled with the pain. ‘There is water in your eyes,’ said he as he released me. ‘I perceive that all is as it should be. But we have to be careful, for we have twice been deceived by wigs and once by paint. I could tell you tales of cobbler’s wax which would disgust you with human nature.’ He stepped over to the window and shouted through it at the top of his voice that the vacancy was filled. A groan of disappointment came up from below, and the folk all trooped away in different directions until there was not a red-head to be seen except my own and that of the manager.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 191 | Lily        | 2021 | 7     | 28  | Our neighboring courthouse has a very annoying rooster that crows loudly at 6am every day. My sons Robert and Patrick took the rooster to a city far, far away, so it may never bother us again. My sons have successfully arrived in Paris.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 192 | Kiana       | 2021 | 5     | 17  | I saw Richard take a bite out of his pastry at the bakery before his pastry was stolen from him.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
+-----+-------------+------+-------+-----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
**atm_transactions**
+------+----------------+------+-------+-----+----------------------+------------------+--------+
|  id  | account_number | year | month | day |     atm_location     | transaction_type | amount |
+------+----------------+------+-------+-----+----------------------+------------------+--------+
| 1    | 57022441       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 40     |
| 2    | 39167741       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 40     |
| 3    | 93622979       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 50     |
| 4    | 11605357       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 25     |
| 5    | 27362189       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 75     |
| 6    | 20774848       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 70     |
| 7    | 28500762       | 2021 | 7     | 26  | Leggett Street       | deposit          | 75     |
| 8    | 39774254       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 75     |
| 9    | 81061156       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 95     |
| 10   | 66254725       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 55     |
| 11   | 23708703       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 100    |
| 12   | 86363979       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 60     |
| 13   | 75571594       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 20     |
| 14   | 87859883       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 50     |
| 15   | 66454844       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 30     |
| 16   | 50380485       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 35     |
| 17   | 26013199       | 2021 | 7     | 26  | Leggett Street       | deposit          | 55     |
| 18   | 36438351       | 2021 | 7     | 26  | Leggett Street       | deposit          | 60     |
| 19   | 16194980       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 25     |
| 20   | 19674896       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 50     |
| 21   | 46222318       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 10     |
| 22   | 92206742       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 60     |
| 23   | 21021018       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 85     |
| 24   | 36438351       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 40     |
| 25   | 96336648       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 5      |
| 26   | 74812642       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 80     |
| 27   | 36709431       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 28   | 87859883       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 85     |
| 29   | 25506511       | 2021 | 7     | 26  | Leggett Street       | deposit          | 55     |
| 30   | 13156006       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 20     |
| 31   | 93401152       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 32   | 66344537       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 10     |
| 33   | 21004503       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 40     |
| 34   | 52833142       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 75     |
| 35   | 52457779       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 45     |
| 36   | 58552019       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 5      |
| 37   | 24064261       | 2021 | 7     | 26  | Carvalho Road        | withdraw         | 100    |
| 38   | 66254725       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 100    |
| 39   | 49610011       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 10     |
| 40   | 97338436       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 65     |
| 41   | 72161631       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 95     |
| 42   | 34939061       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 100    |
| 43   | 91814087       | 2021 | 7     | 26  | Leggett Street       | deposit          | 30     |
| 44   | 13156006       | 2021 | 7     | 26  | Daboin Sanchez Drive | withdraw         | 50     |
| 45   | 39696970       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 55     |
| 46   | 32747120       | 2021 | 7     | 26  | Carvalho Road        | deposit          | 5      |
| 47   | 92206742       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 50     |
| 48   | 56171033       | 2021 | 7     | 26  | Leggett Street       | deposit          | 50     |
| 49   | 45096649       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 90     |
| 50   | 94973060       | 2021 | 7     | 26  | Blumberg Boulevard   | withdraw         | 60     |
| 51   | 76849114       | 2021 | 7     | 26  | Daboin Sanchez Drive | deposit          | 5      |
| 52   | 21149684       | 2021 | 7     | 26  | Leggett Street       | withdraw         | 95     |
| 53   | 50665819       | 2021 | 7     | 26  | Humphrey Lane        | deposit          | 10     |
| 54   | 46222318       | 2021 | 7     | 26  | Humphrey Lane        | withdraw         | 10     |
| 55   | 57022441       | 2021 | 7     | 26  | Blumberg Boulevard   | deposit          | 25     |
